from_city,to_city,train_name,train_number,departure_time,arrival_time,duration_hrs,distance_km,sleeper_inr,3ac_inr,2ac_inr,1ac_inr,frequency,direct_train,nearest_station_from,nearest_station_to,notes
chennai,tambaram,Chennai-Tambaram Local,40601,06:00,06:35,0.58,25,10,NA,NA,NA,Daily,Yes,Chennai Egmore,Tambaram,EMU local train; no class distinction
chennai,chengalpattu,Chennai-Chengalpattu Local,40701,06:15,07:30,1.25,56,20,NA,NA,NA,Daily,Yes,Chennai Egmore,Chengalpattu,Suburban EMU train
chennai,mahabalipuram,No Direct Train,N/A,N/A,N/A,N/A,60,NA,NA,NA,NA,N/A,No,Chennai Egmore,Chengalpattu,Take train to Chengalpattu then bus to Mahabalipuram
chennai,kanchipuram,Chennai-Kanchipuram Express,16181,06:30,08:45,2.25,75,65,200,290,490,Daily,Yes,Chennai Egmore,Kanchipuram,Direct train; limited frequency
chennai,coimbatore,Shatabdi Express,12243,06:00,11:00,5.0,496,NA,995,1390,NA,Daily,Yes,Chennai Central,Coimbatore,Premium AC only; fastest option
chennai,madurai,Pandian Express,12637,21:00,05:30,8.5,462,245,670,955,1605,Daily,Yes,Chennai Egmore,Madurai Junction,Overnight; very popular
chennai,tiruchirappalli,Rock Fort Express,12681,22:15,05:00,6.75,330,185,505,720,1210,Daily,Yes,Chennai Egmore,Tiruchirappalli Junction,Overnight express
chennai,salem,Salem Express,12661,22:00,04:00,6.0,336,185,505,720,1210,Daily,Yes,Chennai Central,Salem Junction,Overnight train
chennai,tirunelveli,Nellai Express,12631,19:20,06:10,10.83,630,295,800,1145,1925,Daily,Yes,Chennai Egmore,Tirunelveli Junction,Overnight; one of the longest routes
chennai,tiruppur,Kovai Express,12675,06:10,12:15,6.08,470,210,570,815,1370,Daily,Yes,Chennai Central,Tiruppur,Day train via Erode
chennai,vellore,Jolarpet Passenger,56041,06:45,09:30,2.75,130,75,NA,NA,NA,Daily,Yes,Chennai Central,Katpadi (Vellore),Passenger train; slow but cheap
chennai,erode,Erode Express,12163,22:30,05:00,6.5,398,210,570,815,1370,Daily,Yes,Chennai Central,Erode Junction,Overnight express
chennai,ooty,Nilgiri Express,12671,21:15,07:00,9.75,530,220,600,860,1445,Daily,Yes,Chennai Central,Mettupalayam,Change to toy train at Mettupalayam
chennai,kodaikanal,Kodaikanal Express,12673,21:25,09:00,11.58,528,235,640,915,1540,Daily,Yes,Chennai Egmore,Kodaikanal Road,Change to bus from Kodaikanal Road
chennai,kanyakumari,Cape Express,12661,19:25,11:50,16.42,758,355,965,1380,2320,Daily,Yes,Chennai Egmore,Kanyakumari,Longest route; overnight
chennai,rameswaram,Sethu Express,12661,08:50,22:00,13.17,659,305,830,1185,1995,3x/week,Yes,Chennai Egmore,Rameswaram,Via Madurai; runs Mon/Wed/Fri
chennai,thanjavur,Thanjavur Express,12163,22:30,07:00,8.5,350,200,545,780,1310,Daily,Yes,Chennai Egmore,Thanjavur Junction,Overnight express
tambaram,chengalpattu,Tambaram-Chengalpattu Local,40701,06:45,07:30,0.75,31,15,NA,NA,NA,Daily,Yes,Tambaram,Chengalpattu,EMU local
tambaram,mahabalipuram,No Direct Train,N/A,N/A,N/A,N/A,35,NA,NA,NA,NA,N/A,No,Tambaram,Chengalpattu,Train to Chengalpattu + bus
tambaram,kanchipuram,No Direct Train,N/A,N/A,N/A,N/A,52,NA,NA,NA,NA,N/A,No,Tambaram,Kanchipuram,Train to Chennai + train to Kanchipuram
tambaram,coimbatore,Coimbatore Express,12243,06:30,11:30,5.0,471,NA,960,1360,NA,Daily,Yes,Tambaram,Coimbatore,Stops at Tambaram
