city,hotel_name,category,per_night_inr,amenities,meals_included,breakfast_cost_inr,dinner_cost_inr,rating,total_per_night_inr,location_area,notes
chennai,The Leela Palace Chennai,Luxury,18000,Pool/Spa/Gym/WiFi/Parking/Concierge,No,800,1200,4.8,20000,Adyar,Best luxury hotel in Chennai; near IT corridor
chennai,ITC Grand Chola,Luxury,15000,Pool/Spa/Gym/WiFi/Multiple Restaurants,No,700,1100,4.7,16800,Guindy,Heritage-themed luxury; close to airport
chennai,Hyatt Regency Chennai,Premium,8000,Pool/Gym/WiFi/Bar/Restaurant,No,600,900,4.5,9500,Anna Salai,Central location; good for business travelers
chennai,Hotel Sangeetha Residency,Mid-range,2500,WiFi/AC/TV/Room Service,No,200,350,4.0,3050,T Nagar,Popular mid-range; near shopping areas
chennai,Hotel Chennai Gate,Budget,1200,WiFi/AC/TV,No,150,250,3.7,1600,Egmore,Close to Central Station; basic amenities
chennai,Zostel Chennai,Hostel,500,WiFi/Common Kitchen/Lounge,No,120,200,4.2,820,Mylapore,Good for backpackers; social atmosphere
tambaram,Hotel Palmgrove,Mid-range,2200,WiFi/AC/TV/Restaurant,Yes,0,300,4.0,2500,Tambaram West,Breakfast included; near railway station
tambaram,Hotel Shenbaga,Budget,1100,WiFi/AC/TV,No,120,220,3.6,1440,Tambaram East,Clean budget option; good connectivity
tambaram,Hotel Accord,Mid-range,1800,WiFi/AC/TV/Parking,No,180,280,3.8,2260,Pallavaram,Near airport; quiet locality
tambaram,OYO Rooms Tambaram,Budget,800,WiFi/AC/TV,No,100,180,3.4,1080,Tambaram,Basic stay; ideal for transit
tambaram,Hotel Regal,Mid-range,1500,WiFi/AC/TV/Restaurant,No,150,250,3.7,1900,Chromepet,Family-friendly; local restaurant attached
tambaram,Treebo Trend Pallavaram,Budget,1200,WiFi/AC/TV/Parking,No,130,200,3.8,1530,Pallavaram,Clean and modern budget stay
chengalpattu,Hotel Jayaram Residency,Mid-range,1800,WiFi/AC/TV/Restaurant,No,180,300,3.9,2280,Chengalpattu Town,Central location; near bus stand
chengalpattu,OYO Hotel Sree Matha,Budget,900,WiFi/AC/TV,No,120,200,3.5,1220,Chengalpattu,Decent budget option; basic amenities
chengalpattu,Hotel Greenfields,Mid-range,2000,WiFi/AC/TV/Parking/Restaurant,Yes,0,300,4.0,2300,Mahabalipuram Road,Good for Mahabalipuram day trips
chengalpattu,Radisson Blu Resort Mahabalipuram,Luxury,9000,Pool/Spa/Gym/WiFi/Beach Access,No,700,1000,4.6,10700,ECR Road,Resort feel; 20km from Chengalpattu
chengalpattu,Hotel Mamalla Heritage,Mid-range,2500,WiFi/AC/Pool/Restaurant,No,200,350,4.1,3050,Mahabalipuram,Heritage property; near monuments
chengalpattu,Ideal Beach Resort,Premium,4500,Pool/WiFi/AC/Restaurant/Beach,Yes,0,600,4.3,5100,Mahabalipuram,Beachfront resort; popular with families
mahabalipuram,Radisson Blu Resort,Luxury,9000,Pool/Spa/Gym/WiFi/Beach,No,700,1000,4.6,10700,ECR Road,Top luxury option in Mahabalipuram
mahabalipuram,Hotel Mamalla Heritage,Premium,3500,Pool/WiFi/AC/Restaurant,No,250,400,4.2,4150,Near Shore Temple,Walking distance to monuments
mahabalipuram,Ideal Beach Resort,Premium,4500,Pool/WiFi/Beach Access/Restaurant,Yes,0,500,4.3,5000,Beach Road,Beachfront; great sunset views
mahabalipuram,Blue Elephant,Mid-range,2200,WiFi/AC/TV/Restaurant,No,200,300,4.0,2700,Town Area,Good mid-range; near Five Rathas
mahabalipuram,Hotel Sea Breeze,Budget,1200,WiFi/AC/TV,No,150,250,3.6,1600,Beach Road,Budget beach-side stay
mahabalipuram,Tina Blue View Lodge,Hostel,600,WiFi/Common Area/Fan,No,100,180,3.5,880,Town Area,Backpacker favourite; very cheap
kanchipuram,Hotel Saravana Bhavan,Mid-range,2000,WiFi/AC/TV/Restaurant,Yes,0,300,4.0,2300,Town Center,South Indian meals included; central
kanchipuram,GRT Regency Kanchipuram,Premium,3500,Pool/WiFi/AC/Gym/Restaurant,No,300,450,4.3,4250,Kanchipuram,Best premium option in city
kanchipuram,Hotel Vijayalakshmi,Budget,1000,WiFi/AC/TV,No,120,200,3.6,1320,Near Bus Stand,Budget option; near main temples
kanchipuram,Hotel Tamil Nadu (TTDC),Budget,1200,WiFi/AC/TV/Restaurant,Yes,0,250,3.7,1450,Town Center,Government hotel; reliable and cheap
kanchipuram,Baboo Soorya Hotel,Mid-range,1800,WiFi/AC/TV/Parking,No,180,280,3.8,2260,Silk Weaver Area,Near silk weaving units
kanchipuram,OYO Kanchipuram Stay,Budget,800,WiFi/AC/TV,No,100,180,3.4,1080,Town Area,Basic budget stay
coimbatore,Taj Coimbatore,Luxury,10000,Pool/Spa/Gym/WiFi/Multiple Restaurants,No,700,1000,4.7,11700,Race Course Road,Top luxury property in Coimbatore
coimbatore,Hotel Residency Coimbatore,Premium,4000,Pool/WiFi/AC/Gym/Restaurant,No,400,600,4.3,5000,Avinashi Road,Business hotel; near IT zone
coimbatore,Hotel Sri Balaji,Mid-range,2000,WiFi/AC/TV/Restaurant,No,200,300,4.0,2500,RS Puram,Central area; clean and comfortable
coimbatore,Hotel City Tower,Mid-range,1800,WiFi/AC/TV/Restaurant,No,180,280,3.9,2260,Town Hall Road,Good value; near city center
coimbatore,Hotel Park View,Budget,1200,WiFi/AC/TV,No,150,220,3.6,1570,Gandhipuram,Budget friendly; near bus stand
coimbatore,OYO Coimbatore Central,Budget,900,WiFi/AC/TV,No,120,180,3.5,1200,Central,Basic amenities; good location
